fare_id,price,currency_type,payment_method,transfers,agency_id
1,0.80,EUR,0,0,71
2,0.90,EUR,0,0,71
3,0.85,EUR,0,0,71
4,1.10,EUR,0,0,71
5,0.95,EUR,0,0,71
6,1.00,EUR,0,0,71
7,1.05,EUR,0,0,71
8,1.50,EUR,0,0,100047
9,1.00,EUR,0,0,295
10,1.90,EUR,0,0,295
11,1.75,EUR,0,0,71
12,1.25,EUR,0,0,71
13,1.55,EUR,0,0,71
14,1.95,EUR,0,0,71
15,1.20,EUR,0,0,71
16,1.90,EUR,0,0,71
17,1.65,EUR,0,0,71
18,1.40,EUR,0,0,71
19,1.80,EUR,0,0,71
20,1.60,EUR,0,0,71
21,1.50,EUR,0,0,71
22,1.15,EUR,0,0,71
23,1.85,EUR,0,0,71
24,1.45,EUR,0,0,71
25,1.35,EUR,0,0,71
26,2.00,EUR,0,0,71
27,1.70,EUR,0,0,71
28,1.30,EUR,0,0,71
29,1.50,EUR,0,0,50
30,2.80,EUR,0,0,295
31,3.70,EUR,0,0,295
32,3.70,EUR,0,0,60
33,1.00,EUR,0,0,60
34,2.05,EUR,0,0,295
35,0.65,EUR,0,0,295
36,1.25,EUR,0,0,295
37,1.50,EUR,0,0,295
38,1.85,EUR,0,0,295
39,1.30,EUR,0,0,295
40,0.75,EUR,0,0,295
41,1.70,EUR,0,0,295
42,0.95,EUR,0,0,295
43,1.55,EUR,0,0,295
44,1.75,EUR,0,0,295
45,1.15,EUR,0,0,295
46,0.80,EUR,0,0,295
47,1.35,EUR,0,0,295
48,1.10,EUR,0,0,295
49,0.90,EUR,0,0,295
50,0.70,EUR,0,0,295
51,1.45,EUR,0,0,295
52,1.05,EUR,0,0,295
53,1.20,EUR,0,0,295
54,1.80,EUR,0,0,295
55,2.25,EUR,0,0,295
56,0.85,EUR,0,0,295
57,1.60,EUR,0,0,295
58,1.40,EUR,0,0,295
59,1.65,EUR,0,0,295
60,1.95,EUR,0,0,295
61,2.10,EUR,0,0,295
62,2.15,EUR,0,0,295
63,2.00,EUR,0,0,295
64,2.20,EUR,0,0,295
65,1.50,EUR,0,0,31
66,5.55,EUR,0,0,295
67,3.65,EUR,0,0,295
68,2.55,EUR,0,0,295
69,3.45,EUR,0,0,295
70,2.40,EUR,0,0,295
71,4.10,EUR,0,0,295
72,3.00,EUR,0,0,295
73,2.45,EUR,0,0,295
74,4.20,EUR,0,0,295
75,2.35,EUR,0,0,295
76,2.50,EUR,0,0,295
77,3.95,EUR,0,0,295
78,4.95,EUR,0,0,295
79,4.30,EUR,0,0,295
80,5.40,EUR,0,0,295
81,3.30,EUR,0,0,295
82,5.05,EUR,0,0,295
83,2.30,EUR,0,0,295
84,5.20,EUR,0,0,295
85,4.45,EUR,0,0,295
86,2.95,EUR,0,0,295
87,4.60,EUR,0,0,295
88,3.35,EUR,0,0,295
89,2.60,EUR,0,0,295
90,5.50,EUR,0,0,295
91,5.15,EUR,0,0,295
92,3.20,EUR,0,0,295
93,3.05,EUR,0,0,295
94,5.45,EUR,0,0,295
95,3.40,EUR,0,0,295
96,5.30,EUR,0,0,295
97,4.70,EUR,0,0,295
98,3.10,EUR,0,0,295
99,3.85,EUR,0,0,295
100,4.35,EUR,0,0,295
101,2.85,EUR,0,0,295
102,3.75,EUR,0,0,295
103,1.00,EUR,0,0,50
104,1.90,EUR,0,0,50
105,2.80,EUR,0,0,50
106,3.70,EUR,0,0,50
107,1.50,EUR,0,0,60
108,2.20,EUR,0,0,50
109,4.60,EUR,0,0,50
110,2.00,EUR,0,0,50
111,5.60,EUR,0,0,50
112,6.60,EUR,0,0,50
113,6.90,EUR,0,0,50
114,3.10,EUR,0,0,50
115,2.70,EUR,0,0,50
116,2.10,EUR,0,0,50
117,3.40,EUR,0,0,50
118,4.70,EUR,0,0,50
119,4.40,EUR,0,0,50
120,3.00,EUR,0,0,50
121,4.30,EUR,0,0,50
122,5.30,EUR,0,0,50
123,2.40,EUR,0,0,50
124,7.20,EUR,0,0,50
125,7.50,EUR,0,0,50
126,5.90,EUR,0,0,50
127,4.00,EUR,0,0,50
128,1.80,EUR,0,0,50
129,5.00,EUR,0,0,50
130,6.30,EUR,0,0,50
131,4.90,EUR,0,0,50
132,6.20,EUR,0,0,50
133,6.50,EUR,0,0,50
134,1.05,EUR,0,0,317
135,1.00,EUR,0,0,317
136,0.60,EUR,0,0,317
137,1.50,EUR,0,0,317
138,0.55,EUR,0,0,317
139,2.00,EUR,0,0,317
140,2.35,EUR,0,0,317
141,0.40,EUR,0,0,317
142,2.20,EUR,0,0,317
143,0.95,EUR,0,0,317
144,0.90,EUR,0,0,317
145,2.75,EUR,0,0,317
146,0.85,EUR,0,0,317
147,0.50,EUR,0,0,317
148,1.35,EUR,0,0,317
149,0.80,EUR,0,0,317
150,1.10,EUR,0,0,317
151,1.75,EUR,0,0,317
152,3.55,EUR,0,0,317
153,1.40,EUR,0,0,317
154,2.95,EUR,0,0,317
155,1.45,EUR,0,0,317
156,0.45,EUR,0,0,317
157,1.30,EUR,0,0,317
158,1.90,EUR,0,0,317
159,2.15,EUR,0,0,317
160,2.30,EUR,0,0,317
161,3.05,EUR,0,0,317
162,2.80,EUR,0,0,317
163,0.70,EUR,0,0,317
164,2.65,EUR,0,0,317
165,2.70,EUR,0,0,317
166,1.70,EUR,0,0,317
167,1.85,EUR,0,0,317
168,2.45,EUR,0,0,317
169,1.55,EUR,0,0,317
170,3.25,EUR,0,0,317
171,1.20,EUR,0,0,317
172,2.60,EUR,0,0,317
173,2.85,EUR,0,0,317
174,0.75,EUR,0,0,317
175,2.40,EUR,0,0,317
176,1.65,EUR,0,0,317
177,0.65,EUR,0,0,317
178,1.15,EUR,0,0,317
179,2.05,EUR,0,0,317
180,3.45,EUR,0,0,317
181,2.50,EUR,0,0,317
182,3.10,EUR,0,0,317
183,2.25,EUR,0,0,317
184,0.35,EUR,0,0,317
185,1.25,EUR,0,0,317
186,1.60,EUR,0,0,317
187,1.95,EUR,0,0,317
188,3.15,EUR,0,0,317
189,2.55,EUR,0,0,317
190,3.00,EUR,0,0,317
191,3.35,EUR,0,0,317
192,2.90,EUR,0,0,317
193,2.10,EUR,0,0,317
194,1.80,EUR,0,0,317
195,3.60,EUR,0,0,317
196,0.30,EUR,0,0,317
197,3.30,EUR,0,0,317
198,3.20,EUR,0,0,317
199,3.40,EUR,0,0,317
200,3.50,EUR,0,0,317
201,2.30,EUR,0,0,71
202,2.10,EUR,0,0,71
203,2.20,EUR,0,0,71
204,2.70,EUR,0,0,71
205,2.65,EUR,0,0,71
206,2.80,EUR,0,0,71
207,2.75,EUR,0,0,71
208,2.45,EUR,0,0,71
209,2.40,EUR,0,0,71
210,2.25,EUR,0,0,71
211,2.15,EUR,0,0,71
212,2.50,EUR,0,0,71
213,2.85,EUR,0,0,71
214,2.05,EUR,0,0,71
215,2.55,EUR,0,0,71
216,2.35,EUR,0,0,71
217,2.60,EUR,0,0,71
218,1.90,EUR,0,0,60
219,2.80,EUR,0,0,60
220,2.95,EUR,0,0,71
221,3.15,EUR,0,0,71
222,2.90,EUR,0,0,71
223,3.10,EUR,0,0,71
224,3.00,EUR,0,0,71
225,3.05,EUR,0,0,71
226,3.70,EUR,0,0,71
227,3.20,EUR,0,0,71
228,3.50,EUR,0,0,71
229,3.40,EUR,0,0,71
230,3.60,EUR,0,0,71
231,3.30,EUR,0,0,71
232,8.90,EUR,0,0,50
233,8.30,EUR,0,0,50
234,5.70,EUR,0,0,50
235,9.30,EUR,0,0,50
236,7.00,EUR,0,0,50
237,2.50,EUR,0,0,50
238,2.90,EUR,0,0,50
239,8.60,EUR,0,0,50
240,2.60,EUR,0,0,50
241,5.10,EUR,0,0,50
242,6.10,EUR,0,0,50
243,4.10,EUR,0,0,50
244,6.40,EUR,0,0,50
245,6.70,EUR,0,0,50
246,3.20,EUR,0,0,50
247,4.80,EUR,0,0,50
248,5.50,EUR,0,0,50
249,5.40,EUR,0,0,50
250,3.80,EUR,0,0,50
251,4.20,EUR,0,0,50
252,7.90,EUR,0,0,50
253,2.30,EUR,0,0,50
254,1.60,EUR,0,0,50
255,7.10,EUR,0,0,50
256,3.90,EUR,0,0,50
257,4.50,EUR,0,0,50
258,1.70,EUR,0,0,50
259,3.50,EUR,0,0,50
260,7.70,EUR,0,0,50
261,6.80,EUR,0,0,50
262,6.00,EUR,0,0,50
263,3.30,EUR,0,0,50
264,8.10,EUR,0,0,50
265,3.60,EUR,0,0,50
266,7.60,EUR,0,0,50
267,8.20,EUR,0,0,50
268,5.20,EUR,0,0,50
269,7.30,EUR,0,0,50
270,5.80,EUR,0,0,50
271,7.80,EUR,0,0,50
272,3.25,EUR,0,0,71
273,3.45,EUR,0,0,71
274,3.35,EUR,0,0,71
275,3.65,EUR,0,0,71
276,3.55,EUR,0,0,71
277,2.30,EUR,0,0,60
278,0.90,EUR,0,0,60
279,3.00,EUR,0,0,60
280,0.80,EUR,0,0,50
281,0.95,EUR,0,0,50
282,1.95,EUR,0,0,50
283,1.65,EUR,0,0,50
284,1.05,EUR,0,0,50
285,2.05,EUR,0,0,50
286,1.30,EUR,0,0,50
287,1.10,EUR,0,0,50
288,0.90,EUR,0,0,50
289,1.75,EUR,0,0,50
290,2.25,EUR,0,0,50
291,1.15,EUR,0,0,50
292,1.35,EUR,0,0,50
293,1.55,EUR,0,0,50
294,2.15,EUR,0,0,50
295,1.85,EUR,0,0,50
296,1.40,EUR,0,0,50
297,0.85,EUR,0,0,50
298,1.25,EUR,0,0,50
299,2.45,EUR,0,0,50
300,1.20,EUR,0,0,50
301,1.45,EUR,0,0,50
302,2.35,EUR,0,0,50
303,2.55,EUR,0,0,50
304,1.60,EUR,0,0,60
305,10.00,EUR,0,0,50
306,8.50,EUR,0,0,50
307,4.40,EUR,0,0,317
308,3.70,EUR,0,0,317
309,5.10,EUR,0,0,317
310,4.60,EUR,0,0,317
311,3.60,EUR,0,0,60
312,4.10,EUR,0,0,60
313,7.50,EUR,0,0,60
314,4.50,EUR,0,0,60
315,5.90,EUR,0,0,60
316,5.10,EUR,0,0,60
317,3.50,EUR,0,0,60
318,2.20,EUR,0,0,60
319,6.70,EUR,0,0,60
320,6.80,EUR,0,0,60
321,4.60,EUR,0,0,60
322,4.00,EUR,0,0,60
323,3.30,EUR,0,0,60
324,4.20,EUR,0,0,60
325,2.60,EUR,0,0,60
326,3.80,EUR,0,0,60
327,2.00,EUR,0,0,60
328,1.70,EUR,0,0,60
329,3.10,EUR,0,0,60
330,4.25,EUR,0,0,295
331,2.65,EUR,0,0,50
332,4.00,EUR,0,0,317
333,5.00,EUR,0,0,317
334,4.50,EUR,0,0,317
335,4.55,EUR,0,0,317
336,4.15,EUR,0,0,317
337,3.85,EUR,0,0,317
338,4.70,EUR,0,0,317
339,4.05,EUR,0,0,317
340,3.75,EUR,0,0,317
341,4.85,EUR,0,0,317
342,3.80,EUR,0,0,317
343,4.20,EUR,0,0,317
344,4.75,EUR,0,0,317
345,4.35,EUR,0,0,317
346,4.90,EUR,0,0,317
347,3.65,EUR,0,0,317
348,4.45,EUR,0,0,317
349,4.25,EUR,0,0,317
350,4.65,EUR,0,0,317
351,4.30,EUR,0,0,317
352,3.90,EUR,0,0,317
353,4.10,EUR,0,0,317
354,3.95,EUR,0,0,317
355,5.15,EUR,0,0,317
356,4.95,EUR,0,0,317
357,4.80,EUR,0,0,317
358,5.05,EUR,0,0,317
359,6.55,EUR,0,0,317
360,8.90,EUR,0,0,317
361,5.20,EUR,0,0,317
362,7.25,EUR,0,0,317
363,9.00,EUR,0,0,317
364,10.70,EUR,0,0,317
365,7.15,EUR,0,0,317
366,10.60,EUR,0,0,317
367,5.30,EUR,0,0,317
368,8.40,EUR,0,0,317
369,10.40,EUR,0,0,317
