stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name,authority
31642,4900320-1,Metsa,58.76868735,26.44958593,31642,,Jõgeva vald,"Laiuse suunas",6516938.08,641692.94,1,Jõgeva ÜTK
28707,4400148-1,Iidla,59.33525493,27.42183545,28707,Iidla,Ahtme linnaosa,"Jõhvi suunas",6582427.84,694671.43,,Kohtla-Järve LV
5316,41015-1,Võidu,59.36946004,25.19196238,5316,,Raasiku vald,,6581874.00,567770.00,Harju3,Harjumaa ÜTK
130726,6500875-1,Rebaste rist,57.94714526,26.62373954,130726,,Kanepi vald,"Rebaste suunas",6425886.50,655339.87,,Põlva MV
130727,6500881-1,Liivakalda,57.94565223,26.59755589,130727,,Kanepi vald,,6425660.00,653796.87,,Põlva MV
4810,23503-1,Rummu,59.23108405,24.20311689,4810,,Lääne-Harju vald,,6565874.37,511595.64,Harju4,Harjumaa ÜTK
26371,3700132-1,Luidja,58.93206634,22.39104919,26371,,Hiiu vald,"Kõpu-Kalana suund",6533659.77,407357.15,,Hiiu MV
12858,23687-1,Lepalinnu,59.54639232,24.88173743,12858,,Viimsi vald,,6601311.00,549874.00,Harju2,Harjumaa ÜTK
11969,21594-1,Harku kauplus,59.3906972,24.58058087,11969,,Harku vald,,6583780.50,532990.25,Harju2,Harjumaa ÜTK
11541,21822-1,Keskväljak,59.30822709,24.42189931,11541,,Keila linn,,6574526.00,524031.44,Harju3,Harjumaa ÜTK
137070,8490027-1,Härjakoorma,58.302008,25.721463,137070,,Viljandi vald,"Mõnnaste tee suunas",6463666.83,600920.70,,Viljandi MV
137071,8490028-1,Härjakoorma,58.30207516,25.72158652,137071,,Viljandi vald,"Viljandi suunas",6463674.50,600927.75,,Viljandi MV
5317,41016-1,Võidu,59.37081595,25.19292432,5317,,Raasiku vald,,6582026.00,567822.00,Harju3,Harjumaa ÜTK
21387,7800384-1,Kääni,58.16982315,26.50028456,21387,,Nõo vald,"Laguja suunas",6450391.40,647109.88,,Tartu MV
130855,5701035-1,Pusku,58.90074,23.46436999,130855,,Haapsalu linn,,6529182.53,469128.11,,Lääne MV
130857,5701037-1,Mäeküla,58.88423,23.48094999,130857,,Haapsalu linn,,6527336.08,470069.47,,Lääne MV
130858,5701038-1,Mäeküla,58.88407073,23.48172073,130858,,Haapsalu linn,,6527318.00,470113.78,,Lääne MV
130859,5701039-1,Sepaküla,58.87898565,23.50258183,130859,,Haapsalu linn,,6526742.50,471312.50,,Lääne MV
130860,5701040-1,Sepaküla,58.87872664,23.50293287,130860,,Haapsalu linn,,6526713.50,471332.53,,Lääne MV
130861,5701041-1,Tanska tee,58.87130432,23.5154395,130861,,Haapsalu linn,,6525881.50,472047.84,,Lääne MV
130862,5701042-1,Tanska tee,58.87085658,23.51575074,130862,,Haapsalu linn,,6525831.50,472065.43,,Lääne MV
130863,7000656-1,Jaagumardi,59.19309982,24.70291184,130863,,Kohila vald,,6561836.00,540171.87,Rapla2,Rapla MV
34109,7890023-1,Sootaga,58.50295863,26.64962546,34109,,Tartu vald,,6487803.74,654426.98,,Tartu MV
26409,3700265-1,Särglepa,58.96434524,22.51908182,26409,,Kõrgessaare vald,"Laukalt väljuvate busside peatus, Kõrgessaare suund",6537084.58,414807.35,,Hiiu MV
25841,7800706-1,Puhja,58.34057598,26.31757197,25841,Puhja,Elva vald,"Viljandi suunas",6469012.00,635707.06,,Tartu MV
130904,7801243-1,Karuputke,58.283731,26.3469889,130904,,Elva vald,"Karijärve suunas",6462744.50,637650.37,,Tartu MV
138370,10405-1,Krulli,59.44625035,24.71701782,138370,,Põhja-Tallinn,,6590044.00,540676.56,Harju1,Tallinna TA
24559,7801077-1,Vasula,58.47086588,26.72891314,24559,,Tartu vald,"Kõrveküla suunas",6484417.50,659190.93,,Tartu MV
